,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
81,82,2.399996446911246e-07,1.602000011189375e-05,1.244000013684854e-05,0.00023489999985031317,1.680000023043249e-05,0.00018719999970926438,0.0004187999998976011,0.0004355799999757437
82,83,5.599998985417187e-07,2.735999987635296e-05,2.1120000019436703e-05,0.00036360000012791716,2.3999999757506885e-05,0.0002654799998708768,0.0005784199998743134,0.00029437999983201736
83,84,3.600001946324483e-07,2.3119999968912453e-05,1.2880000213044696e-05,0.00023942000007082243,1.7039999875123613e-05,0.00020922000003338327,0.00044151999973109925,0.00034180000002379527
84,85,3.7999998312443497e-07,2.1080000078654847e-05,1.4139999984763563e-05,0.0002784399999654852,1.886000027297996e-05,0.00020965999974578153,0.0004961599999660394,0.0003362400002515642
85,86,3.600001946324483e-07,1.808000015444122e-05,1.3920000128564425e-05,0.0002882000000681728,1.830000001064036e-05,0.0002096800002618693,0.0005180199997994351,0.0003384799998457311
86,87,3.399996785447001e-07,1.9559999782359227e-05,1.2960000094608404e-05,0.0002485399996658089,1.768000001902692e-05,0.0002023400000325637,0.0004691800000728108,0.00031493999995291233
87,88,2.4000000848900526e-07,1.444000008632429e-05,1.2480000077630393e-05,0.00025089999980991705,1.7379999917466193e-05,0.00022425999995903111,0.0004770000003190944,0.00032504000009794256
88,89,3.0000010156072674e-07,1.6880000111996195e-05,1.2760000026901253e-05,0.000298079999993206,1.8199999976786786e-05,0.0002377400000113994,0.0005453800000395859,0.0003529600002366351
89,90,3.4000004234258085e-07,1.9600000086938962e-05,1.3319999925442972e-05,0.0002554399998189183,1.8139999883715064e-05,0.0002293400000780821,0.00049888000030478,0.000333380000301986
90,91,3.1999989005271343e-07,2.735999987635296e-05,1.4960000044084154e-05,0.00025734000009833833,1.7900000239023937e-05,0.0002365000000281725,0.0004929599999741185,0.00033757999990484676
91,92,4.1999992390628903e-07,1.9160000010742807e-05,1.3459999900078401e-05,0.00026649999999790454,1.7719999959808774e-05,0.0002308999999513617,0.000528900000063004,0.0003429199998208787
