,Unnamed: 0,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
82,82,83,8.999995770864189e-07,1.0600000678095966e-06,4.880000778939575e-06,0.0002771600004052743,1.7579999621375464e-05,0.0010067600003822008,0.00013487999967765063,0.00023773999928380362
83,83,84,7.399998139590025e-07,1.1000003723893314e-06,4.9600006605032835e-06,0.00025980000064009803,1.7579999621375464e-05,0.000959119999606628,0.00015852000033191868,0.0002360000002227025
84,84,85,7.799997547408565e-07,1.1199997970834375e-06,4.89999947603792e-06,0.00028378000024531497,1.7879999722936195e-05,0.001008480000018608,0.00014836000045761465,0.00024106000018946357
85,85,86,6.800004484830424e-07,1.1199997970834375e-06,4.999999509891495e-06,0.00031873999942035877,1.8819999604602343e-05,0.0010398599995824042,0.00014025999953446442,0.0002485599998180988
86,86,87,7.400001777568831e-07,1.1799987987615167e-06,5.199998850002885e-06,0.0002771599996776785,2.0259999655536375e-05,0.0010825000001204901,0.00016535999966436066,0.00026524000022618564
87,87,88,7.799993909429759e-07,1.220001286128536e-06,5.220000457484275e-06,0.00030755999941902703,2.1540000307140876e-05,0.001414880000447738,0.00014487999978882727,0.0002591399996163091
88,88,89,6.60000296193175e-07,1.120000524679199e-06,4.98000081279315e-06,0.0003243200000724755,1.8700000146054668e-05,0.0010816999994858632,0.00013632000009238253,0.0002654200001416029
89,89,90,7.600003300467507e-07,1.1600001016631723e-06,5.020000389777124e-06,0.0002795800002786564,2.015999998548068e-05,0.0012376800004858526,0.00015012000003480352,0.00034557999970274983
90,90,91,7.399998139590025e-07,1.1399999493733048e-06,5.0199996621813625e-06,0.00029252000022097493,2.956000025733374e-05,0.001110300000073039,0.00014635999978054314,0.00026628000014170536
91,91,92,6.399997801054269e-07,1.1600001016631723e-06,5.080000119050965e-06,0.0002741400006925687,1.884000012069009e-05,0.0011806400001660225,0.000146139999924344,0.00026989999969373457
92,92,93,6.999998731771484e-07,1.1600001016631723e-06,5.180000880500302e-06,0.0003408599994145334,2.0459999723243532e-05,0.0011886399996001273,0.0001688000000285683,0.00028027999942423774
93,93,94,6.999998731771484e-07,1.1600008292589336e-06,5.460000102175399e-06,0.0003457400001934729,2.1080000078654847e-05,0.0012683599998126738,0.0001541400000860449,0.000287380000736448
94,94,95,6.399994163075461e-07,1.1799987987615167e-06,5.219999729888514e-06,0.00030999999980849683,1.998000043386128e-05,0.0012850600007368485,0.00019529999990481884,0.0002844800001184921
95,95,96,9.200004569720476e-07,1.1799987987615167e-06,5.339999916031957e-06,0.0002834799997799564,2.0020000738441014e-05,0.0012310600002820135,0.00016152000025613234,0.00029175999989092813
96,96,97,7.799993909429759e-07,1.1600008292589336e-06,5.320000491337851e-06,0.00030957999988459053,2.029999996011611e-05,0.0013050000001385345,0.00015949999942677098,0.0002923400003055576
97,97,98,8.600000001024454e-07,1.1800002539530396e-06,5.700001202058047e-06,0.0003152399996906752,2.08999994356418e-05,0.0012832399996113965,0.00016713999975763726,0.00029499999945983293
98,98,99,8.80000152392313e-07,1.1199997970834375e-06,5.400000372901559e-06,0.00034592000010889016,2.1460000061779284e-05,0.0013956000002508515,0.0001825200000894256,0.00032210000026680066
99,99,100,6.599999323952943e-07,1.1600008292589336e-06,5.49999822396785e-06,0.0003535399995598709,2.314000012120232e-05,0.001390979999632691,0.00016800000048533548,0.0003040600000531413
100,100,101,7.199996616691352e-07,1.1600001016631723e-06,5.500000406755135e-06,0.000325919999886537,2.0760000188602136e-05,0.0014483400002063716,0.0001820000004954636,0.0003038200004084501
101,101,102,6.600006599910556e-07,1.1799995263572782e-06,5.919999966863543e-06,0.00032952000037767,2.1120000019436703e-05,0.0014368400003149874,0.00016204000021389218,0.00031256000074790784
102,102,103,6.60000296193175e-07,1.2200005585327745e-06,5.840000085299835e-06,0.0003316199996334035,2.0760000188602136e-05,0.0014610599999286932,0.0001677400003245566,0.0003258799999457551
103,103,104,6.60000296193175e-07,1.220001286128536e-06,6.159998883958906e-06,0.00033389999953215016,2.1300000298651867e-05,0.0014615200005209774,0.00019255999977758618,0.00032211999932769687
104,104,105,8.400002116104588e-07,1.2600001355167479e-06,5.899997631786391e-06,0.0003082600003835978,2.1660000129486434e-05,0.001449240000147256,0.0001888000002509216,0.0004005400005553384
105,105,106,7.800001185387373e-07,1.2800010154023767e-06,5.94000011915341e-06,0.00036055999989912383,2.1660000129486434e-05,0.0015718600006948689,0.00019301999964227437,0.00035854000016115605
106,106,107,6.60000296193175e-07,1.2400007108226418e-06,6.080000457586721e-06,0.00034631999988050667,2.1639999613398685e-05,0.0015625800002453615,0.00019316000034450557,0.00035073999970336445
107,107,108,6.599999323952943e-07,1.1799995263572782e-06,6.099999154685065e-06,0.0003381599999556784,2.147999985027127e-05,0.001578479999443516,0.0002549600001657382,0.0003484599998046178
108,108,109,7.000002369750291e-07,1.2399999832268803e-06,6.099999154685065e-06,0.00036443999997572976,2.1860000197193584e-05,0.0016930599998886465,0.0001994600002944935,0.00034606000008352567
109,109,110,6.400001439033075e-07,1.2600001355167479e-06,6.0799997299909595e-06,0.00035886000041500664,2.238000051875133e-05,0.0016520799999852898,0.00018047999947157223,0.00033960000000661235
110,110,111,7.000002369750291e-07,1.219999830937013e-06,6.199999916134402e-06,0.00036403999947651753,2.3040000451146624e-05,0.001731659999859403,0.0001850799995736452,0.0003624600001785439
111,111,112,8.199996955227106e-07,1.2600001355167479e-06,6.140000186860561e-06,0.0003613199998653727,2.2900000112713313e-05,0.001710859999730019,0.00018383999959041832,0.00035176000055798796
112,112,113,5.99999839323573e-07,1.2400007108226418e-06,5.899999086977914e-06,0.0003634999997302657,2.301999993505888e-05,0.001738100000511622,0.00018640000016603158,0.0003646999997727107
113,113,114,6.60000296193175e-07,1.2600001355167479e-06,6.10000133747235e-06,0.0003695399995194748,2.314000012120232e-05,0.001739380000071833,0.00019243999995524066,0.00037602000047627366
114,114,115,7.000002369750291e-07,1.2600001355167479e-06,5.979999696137384e-06,0.0003734399997483706,2.425999955448788e-05,0.001806980000037584,0.00017700000025797636,0.0003728999996383209
115,115,116,6.800000846851617e-07,1.2600001355167479e-06,6.1399987316690385e-06,0.0003818600001977757,2.563999987614807e-05,0.0018336799996177433,0.000190199999633478,0.00035367999953450635
116,116,117,6.199999916134403e-07,1.3399992894846946e-06,6.199999916134402e-06,0.000390720000359579,2.677999982552137e-05,0.0018363399998634125,0.00018344000018259972,0.00038635999990219714
117,117,118,6.399997801054269e-07,1.2800002878066152e-06,6.1399994592648e-06,0.000347140000667423,2.3739999960525893e-05,0.001903820000006817,0.00020176000070932788,0.00041550000023562463
118,118,119,7.199992978712544e-07,1.3000004400964827e-06,6.219999340828508e-06,0.00037723999957961496,2.3580000561196358e-05,0.0019345000000612345,0.00021610000003420283,0.0004017800001747674
119,119,120,6.999991455813868e-07,1.2999989849049598e-06,6.179999763844534e-06,0.00039127999953052494,2.449999956297688e-05,0.0019783800002187487,0.00019272000026830934,0.0003983599999628496
120,120,121,6.60000296193175e-07,1.3199991371948271e-06,6.2600003730040045e-06,0.00039490000017394783,2.5859999732347204e-05,0.001973559999896679,0.00021194000000832606,0.0004143000005569775
121,121,122,6.399997801054269e-07,1.3199998647905886e-06,6.679999933112412e-06,0.0003945399999793154,2.4940000366768802e-05,0.0020235399999364747,0.00020757999955094416,0.0004178600000159349
122,122,123,7.799993909429759e-07,1.3399992894846946e-06,6.8199995439499615e-06,0.0003977399999712361,2.564000023994595e-05,0.0020431199998711238,0.00022195999990799463,0.0004241200003889389
